PR ID,Repository,Instance ID
django_django_django__django-16950,django/django,django__django-16950
django_django_django__django-16901,django/django,django__django-16901
matplotlib_matplotlib_matplotlib__matplotlib-20676,matplotlib/matplotlib,matplotlib__matplotlib-20676
matplotlib_matplotlib_matplotlib__matplotlib-14623,matplotlib/matplotlib,matplotlib__matplotlib-14623
django_django_django__django-16938,django/django,django__django-16938
matplotlib_matplotlib_matplotlib__matplotlib-22719,matplotlib/matplotlib,matplotlib__matplotlib-22719
matplotlib_matplotlib_matplotlib__matplotlib-20859,matplotlib/matplotlib,matplotlib__matplotlib-20859
matplotlib_matplotlib_matplotlib__matplotlib-21568,matplotlib/matplotlib,matplotlib__matplotlib-21568
matplotlib_matplotlib_matplotlib__matplotlib-23299,matplotlib/matplotlib,matplotlib__matplotlib-23299
matplotlib_matplotlib_matplotlib__matplotlib-24870,matplotlib/matplotlib,matplotlib__matplotlib-24870
matplotlib_matplotlib_matplotlib__matplotlib-25332,matplotlib/matplotlib,matplotlib__matplotlib-25332
matplotlib_matplotlib_matplotlib__matplotlib-25287,matplotlib/matplotlib,matplotlib__matplotlib-25287
matplotlib_matplotlib_matplotlib__matplotlib-25311,matplotlib/matplotlib,matplotlib__matplotlib-25311
matplotlib_matplotlib_matplotlib__matplotlib-25479,matplotlib/matplotlib,matplotlib__matplotlib-25479
matplotlib_matplotlib_matplotlib__matplotlib-26466,matplotlib/matplotlib,matplotlib__matplotlib-26466
matplotlib_matplotlib_matplotlib__matplotlib-25775,matplotlib/matplotlib,matplotlib__matplotlib-25775
matplotlib_matplotlib_matplotlib__matplotlib-26342,matplotlib/matplotlib,matplotlib__matplotlib-26342
matplotlib_matplotlib_matplotlib__matplotlib-26208,matplotlib/matplotlib,matplotlib__matplotlib-26208
mwaskom_seaborn_mwaskom__seaborn-3069,mwaskom/seaborn,mwaskom__seaborn-3069
mwaskom_seaborn_mwaskom__seaborn-3187,mwaskom/seaborn,mwaskom__seaborn-3187
matplotlib_matplotlib_matplotlib__matplotlib-25960,matplotlib/matplotlib,matplotlib__matplotlib-25960
psf_requests_psf__requests-2931,psf/requests,psf__requests-2931
pydata_xarray_pydata__xarray-3095,pydata/xarray,pydata__xarray-3095
pydata_xarray_pydata__xarray-3305,pydata/xarray,pydata__xarray-3305
pydata_xarray_pydata__xarray-3151,pydata/xarray,pydata__xarray-3151
pydata_xarray_pydata__xarray-4966,pydata/xarray,pydata__xarray-4966
pydata_xarray_pydata__xarray-4687,pydata/xarray,pydata__xarray-4687
pydata_xarray_pydata__xarray-3993,pydata/xarray,pydata__xarray-3993
pydata_xarray_pydata__xarray-6599,pydata/xarray,pydata__xarray-6599
pydata_xarray_pydata__xarray-7229,pydata/xarray,pydata__xarray-7229
pylint-dev_pylint_pylint-dev__pylint-4551,pylint-dev/pylint,pylint-dev__pylint-4551
pydata_xarray_pydata__xarray-7233,pydata/xarray,pydata__xarray-7233
pydata_xarray_pydata__xarray-6938,pydata/xarray,pydata__xarray-6938
pylint-dev_pylint_pylint-dev__pylint-4604,pylint-dev/pylint,pylint-dev__pylint-4604
pylint-dev_pylint_pylint-dev__pylint-4970,pylint-dev/pylint,pylint-dev__pylint-4970
pydata_xarray_pydata__xarray-6992,pydata/xarray,pydata__xarray-6992
pylint-dev_pylint_pylint-dev__pylint-6386,pylint-dev/pylint,pylint-dev__pylint-6386
pylint-dev_pylint_pylint-dev__pylint-4661,pylint-dev/pylint,pylint-dev__pylint-4661
pylint-dev_pylint_pylint-dev__pylint-6528,pylint-dev/pylint,pylint-dev__pylint-6528
pytest-dev_pytest_pytest-dev__pytest-10081,pytest-dev/pytest,pytest-dev__pytest-10081
pylint-dev_pylint_pylint-dev__pylint-7080,pylint-dev/pylint,pylint-dev__pylint-7080
pylint-dev_pylint_pylint-dev__pylint-8898,pylint-dev/pylint,pylint-dev__pylint-8898
pydata_xarray_pydata__xarray-6744,pydata/xarray,pydata__xarray-6744
pytest-dev_pytest_pytest-dev__pytest-10356,pytest-dev/pytest,pytest-dev__pytest-10356
pytest-dev_pytest_pytest-dev__pytest-10051,pytest-dev/pytest,pytest-dev__pytest-10051
pytest-dev_pytest_pytest-dev__pytest-5631,pytest-dev/pytest,pytest-dev__pytest-5631
pytest-dev_pytest_pytest-dev__pytest-7432,pytest-dev/pytest,pytest-dev__pytest-7432
pytest-dev_pytest_pytest-dev__pytest-7236,pytest-dev/pytest,pytest-dev__pytest-7236
pytest-dev_pytest_pytest-dev__pytest-7205,pytest-dev/pytest,pytest-dev__pytest-7205
pytest-dev_pytest_pytest-dev__pytest-6197,pytest-dev/pytest,pytest-dev__pytest-6197
pytest-dev_pytest_pytest-dev__pytest-7571,pytest-dev/pytest,pytest-dev__pytest-7571
pytest-dev_pytest_pytest-dev__pytest-7324,pytest-dev/pytest,pytest-dev__pytest-7324
pytest-dev_pytest_pytest-dev__pytest-5787,pytest-dev/pytest,pytest-dev__pytest-5787
scikit-learn_scikit-learn_scikit-learn__scikit-learn-10297,scikit-learn/scikit-learn,scikit-learn__scikit-learn-10297
pytest-dev_pytest_pytest-dev__pytest-5840,pytest-dev/pytest,pytest-dev__pytest-5840
pytest-dev_pytest_pytest-dev__pytest-7490,pytest-dev/pytest,pytest-dev__pytest-7490
scikit-learn_scikit-learn_scikit-learn__scikit-learn-10908,scikit-learn/scikit-learn,scikit-learn__scikit-learn-10908
scikit-learn_scikit-learn_scikit-learn__scikit-learn-11310,scikit-learn/scikit-learn,scikit-learn__scikit-learn-11310
scikit-learn_scikit-learn_scikit-learn__scikit-learn-13124,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13124
scikit-learn_scikit-learn_scikit-learn__scikit-learn-12973,scikit-learn/scikit-learn,scikit-learn__scikit-learn-12973
scikit-learn_scikit-learn_scikit-learn__scikit-learn-13142,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13142
scikit-learn_scikit-learn_scikit-learn__scikit-learn-12682,scikit-learn/scikit-learn,scikit-learn__scikit-learn-12682
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14087,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14087
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14629,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14629
scikit-learn_scikit-learn_scikit-learn__scikit-learn-13496,scikit-learn/scikit-learn,scikit-learn__scikit-learn-13496
scikit-learn_scikit-learn_scikit-learn__scikit-learn-25102,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25102
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14496,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14496
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14710,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14710
scikit-learn_scikit-learn_scikit-learn__scikit-learn-14983,scikit-learn/scikit-learn,scikit-learn__scikit-learn-14983
scikit-learn_scikit-learn_scikit-learn__scikit-learn-25973,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25973
scikit-learn_scikit-learn_scikit-learn__scikit-learn-25931,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25931
scikit-learn_scikit-learn_scikit-learn__scikit-learn-9288,scikit-learn/scikit-learn,scikit-learn__scikit-learn-9288
scikit-learn_scikit-learn_scikit-learn__scikit-learn-25747,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25747
scikit-learn_scikit-learn_scikit-learn__scikit-learn-25232,scikit-learn/scikit-learn,scikit-learn__scikit-learn-25232
scikit-learn_scikit-learn_scikit-learn__scikit-learn-26323,scikit-learn/scikit-learn,scikit-learn__scikit-learn-26323
sphinx-doc_sphinx_sphinx-doc__sphinx-10323,sphinx-doc/sphinx,sphinx-doc__sphinx-10323
scikit-learn_scikit-learn_scikit-learn__scikit-learn-26194,scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194
sphinx-doc_sphinx_sphinx-doc__sphinx-10614,sphinx-doc/sphinx,sphinx-doc__sphinx-10614
sphinx-doc_sphinx_sphinx-doc__sphinx-11445,sphinx-doc/sphinx,sphinx-doc__sphinx-11445
sphinx-doc_sphinx_sphinx-doc__sphinx-7462,sphinx-doc/sphinx,sphinx-doc__sphinx-7462
sphinx-doc_sphinx_sphinx-doc__sphinx-7454,sphinx-doc/sphinx,sphinx-doc__sphinx-7454
sphinx-doc_sphinx_sphinx-doc__sphinx-7440,sphinx-doc/sphinx,sphinx-doc__sphinx-7440
sphinx-doc_sphinx_sphinx-doc__sphinx-10449,sphinx-doc/sphinx,sphinx-doc__sphinx-10449
sphinx-doc_sphinx_sphinx-doc__sphinx-10673,sphinx-doc/sphinx,sphinx-doc__sphinx-10673
sphinx-doc_sphinx_sphinx-doc__sphinx-7748,sphinx-doc/sphinx,sphinx-doc__sphinx-7748
sphinx-doc_sphinx_sphinx-doc__sphinx-11510,sphinx-doc/sphinx,sphinx-doc__sphinx-11510
sphinx-doc_sphinx_sphinx-doc__sphinx-7985,sphinx-doc/sphinx,sphinx-doc__sphinx-7985
sphinx-doc_sphinx_sphinx-doc__sphinx-7757,sphinx-doc/sphinx,sphinx-doc__sphinx-7757
sphinx-doc_sphinx_sphinx-doc__sphinx-8056,sphinx-doc/sphinx,sphinx-doc__sphinx-8056
sphinx-doc_sphinx_sphinx-doc__sphinx-7590,sphinx-doc/sphinx,sphinx-doc__sphinx-7590
sphinx-doc_sphinx_sphinx-doc__sphinx-7910,sphinx-doc/sphinx,sphinx-doc__sphinx-7910
sphinx-doc_sphinx_sphinx-doc__sphinx-8265,sphinx-doc/sphinx,sphinx-doc__sphinx-8265
sphinx-doc_sphinx_sphinx-doc__sphinx-8120,sphinx-doc/sphinx,sphinx-doc__sphinx-8120
sphinx-doc_sphinx_sphinx-doc__sphinx-8459,sphinx-doc/sphinx,sphinx-doc__sphinx-8459
sphinx-doc_sphinx_sphinx-doc__sphinx-8269,sphinx-doc/sphinx,sphinx-doc__sphinx-8269
sphinx-doc_sphinx_sphinx-doc__sphinx-8593,sphinx-doc/sphinx,sphinx-doc__sphinx-8593
sphinx-doc_sphinx_sphinx-doc__sphinx-8548,sphinx-doc/sphinx,sphinx-doc__sphinx-8548
sphinx-doc_sphinx_sphinx-doc__sphinx-8638,sphinx-doc/sphinx,sphinx-doc__sphinx-8638
sphinx-doc_sphinx_sphinx-doc__sphinx-9229,sphinx-doc/sphinx,sphinx-doc__sphinx-9229
sphinx-doc_sphinx_sphinx-doc__sphinx-8721,sphinx-doc/sphinx,sphinx-doc__sphinx-8721
sphinx-doc_sphinx_sphinx-doc__sphinx-8551,sphinx-doc/sphinx,sphinx-doc__sphinx-8551
sphinx-doc_sphinx_sphinx-doc__sphinx-9320,sphinx-doc/sphinx,sphinx-doc__sphinx-9320
sphinx-doc_sphinx_sphinx-doc__sphinx-9602,sphinx-doc/sphinx,sphinx-doc__sphinx-9602
sphinx-doc_sphinx_sphinx-doc__sphinx-8035,sphinx-doc/sphinx,sphinx-doc__sphinx-8035
sphinx-doc_sphinx_sphinx-doc__sphinx-9658,sphinx-doc/sphinx,sphinx-doc__sphinx-9658
sphinx-doc_sphinx_sphinx-doc__sphinx-9461,sphinx-doc/sphinx,sphinx-doc__sphinx-9461
sympy_sympy_sympy__sympy-12419,sympy/sympy,sympy__sympy-12419
sphinx-doc_sphinx_sphinx-doc__sphinx-9673,sphinx-doc/sphinx,sphinx-doc__sphinx-9673
sympy_sympy_sympy__sympy-12481,sympy/sympy,sympy__sympy-12481
sympy_sympy_sympy__sympy-12489,sympy/sympy,sympy__sympy-12489
sphinx-doc_sphinx_sphinx-doc__sphinx-9711,sphinx-doc/sphinx,sphinx-doc__sphinx-9711
sympy_sympy_sympy__sympy-13091,sympy/sympy,sympy__sympy-13091
sympy_sympy_sympy__sympy-13551,sympy/sympy,sympy__sympy-13551
sympy_sympy_sympy__sympy-13798,sympy/sympy,sympy__sympy-13798
sympy_sympy_sympy__sympy-13877,sympy/sympy,sympy__sympy-13877
sympy_sympy_sympy__sympy-13852,sympy/sympy,sympy__sympy-13852
sympy_sympy_sympy__sympy-15345,sympy/sympy,sympy__sympy-15345
sympy_sympy_sympy__sympy-13878,sympy/sympy,sympy__sympy-13878
sympy_sympy_sympy__sympy-14531,sympy/sympy,sympy__sympy-14531
sympy_sympy_sympy__sympy-14248,sympy/sympy,sympy__sympy-14248
sympy_sympy_sympy__sympy-14976,sympy/sympy,sympy__sympy-14976
sympy_sympy_sympy__sympy-13974,sympy/sympy,sympy__sympy-13974
sympy_sympy_sympy__sympy-15599,sympy/sympy,sympy__sympy-15599
sympy_sympy_sympy__sympy-16450,sympy/sympy,sympy__sympy-16450
sympy_sympy_sympy__sympy-16792,sympy/sympy,sympy__sympy-16792
sympy_sympy_sympy__sympy-16597,sympy/sympy,sympy__sympy-16597
sympy_sympy_sympy__sympy-17630,sympy/sympy,sympy__sympy-17630
sympy_sympy_sympy__sympy-17318,sympy/sympy,sympy__sympy-17318
sympy_sympy_sympy__sympy-15976,sympy/sympy,sympy__sympy-15976
sympy_sympy_sympy__sympy-18211,sympy/sympy,sympy__sympy-18211
sympy_sympy_sympy__sympy-19346,sympy/sympy,sympy__sympy-19346
sympy_sympy_sympy__sympy-18199,sympy/sympy,sympy__sympy-18199
sympy_sympy_sympy__sympy-19495,sympy/sympy,sympy__sympy-19495
sympy_sympy_sympy__sympy-19954,sympy/sympy,sympy__sympy-19954
sympy_sympy_sympy__sympy-19783,sympy/sympy,sympy__sympy-19783
sympy_sympy_sympy__sympy-20438,sympy/sympy,sympy__sympy-20438
sympy_sympy_sympy__sympy-18698,sympy/sympy,sympy__sympy-18698
sympy_sympy_sympy__sympy-20916,sympy/sympy,sympy__sympy-20916
sympy_sympy_sympy__sympy-20154,sympy/sympy,sympy__sympy-20154
sympy_sympy_sympy__sympy-21379,sympy/sympy,sympy__sympy-21379
sympy_sympy_sympy__sympy-21596,sympy/sympy,sympy__sympy-21596
sympy_sympy_sympy__sympy-22914,sympy/sympy,sympy__sympy-22914
sympy_sympy_sympy__sympy-22456,sympy/sympy,sympy__sympy-22456
sympy_sympy_sympy__sympy-22080,sympy/sympy,sympy__sympy-22080
sympy_sympy_sympy__sympy-24443,sympy/sympy,sympy__sympy-24443
sympy_sympy_sympy__sympy-24562,sympy/sympy,sympy__sympy-24562
sympy_sympy_sympy__sympy-24661,sympy/sympy,sympy__sympy-24661
